"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 2020","12,282.20","12,198.55","12,289.90","12,195.25","407.70K","0.82%"
"Jan 01, 2020","12,182.50","12,202.15","12,222.20","12,165.30","304.08K","0.12%"
"Dec 31, 2019","12,168.45","12,247.10","12,247.10","12,151.80","426.93K","-0.71%"
"Dec 30, 2019","12,255.85","12,274.90","12,286.45","12,213.80","411.09K","0.08%"
"Dec 27, 2019","12,245.80","12,172.90","12,258.45","12,157.90","383.79K","0.98%"
"Dec 26, 2019","12,126.55","12,211.85","12,221.55","12,118.85","520.33K","-0.72%"
"Dec 24, 2019","12,214.55","12,269.25","12,283.70","12,202.10","470.29K","-0.39%"
"Dec 23, 2019","12,262.75","12,235.45","12,287.15","12,213.25","604.78K","-0.07%"
"Dec 20, 2019","12,271.80","12,266.45","12,293.90","12,252.75","810.68K","0.10%"
"Dec 19, 2019","12,259.70","12,223.40","12,268.35","12,191.15","623.05K","0.31%"
"Dec 18, 2019","12,221.65","12,197.00","12,237.70","12,163.45","518.86K","0.47%"
"Dec 17, 2019","12,165.00","12,082.45","12,182.75","12,070.35","499.59K","0.92%"
"Dec 16, 2019","12,053.95","12,131.35","12,134.65","12,046.30","437.70K","-0.27%"
"Dec 13, 2019","12,086.70","12,026.40","12,098.85","12,023.60","597.71K","0.96%"
"Dec 12, 2019","11,971.80","11,944.30","12,005.50","11,934.00","752.62K","0.52%"
"Dec 11, 2019","11,910.15","11,867.35","11,923.20","11,832.30","997.66K","0.45%"
"Dec 10, 2019","11,856.80","11,950.50","11,953.20","11,844.70","650.22K","-0.68%"
"Dec 09, 2019","11,937.50","11,939.10","11,981.95","11,888.05","599.12K","0.13%"
"Dec 06, 2019","11,921.50","12,047.35","12,057.05","11,888.85","609.22K","-0.81%"
"Dec 05, 2019","12,018.40","12,071.25","12,081.20","11,998.75","562.23K","-0.21%"
"Dec 04, 2019","12,043.20","11,969.95","12,054.70","11,935.30","747.19K","0.41%"
"Dec 03, 2019","11,994.20","12,067.65","12,068.60","11,956.40","605.79K","-0.45%"
"Dec 02, 2019","12,048.20","12,137.05","12,137.15","12,023.70","720.95K","-0.07%"
"Nov 29, 2019","12,056.05","12,146.20","12,147.40","12,017.40","804.43K","-0.78%"
"Nov 28, 2019","12,151.15","12,132.10","12,158.80","12,099.95","620.48K","0.42%"
"Nov 27, 2019","12,100.70","12,068.50","12,114.90","12,055.15","584.23K","0.52%"
"Nov 26, 2019","12,037.70","12,110.20","12,132.45","12,006.35","1.20M","-0.30%"
"Nov 25, 2019","12,073.75","11,922.45","12,084.50","11,919.75","534.29K","1.34%"
"Nov 22, 2019","11,914.40","11,967.30","11,968.10","11,883.50","486.82K","-0.45%"
"Nov 21, 2019","11,968.40","12,025.65","12,028.20","11,956.90","557.69K","-0.26%"
"Nov 20, 2019","11,999.10","12,004.75","12,038.60","11,966.05","646.66K","0.49%"
"Nov 19, 2019","11,940.10","11,919.45","11,958.85","11,881.75","613.91K","0.47%"
"Nov 18, 2019","11,884.50","11,915.15","11,946.20","11,867.60","514.35K","-0.09%"
"Nov 15, 2019","11,895.45","11,904.20","11,973.65","11,879.25","580.15K","0.20%"
"Nov 14, 2019","11,872.10","11,858.75","11,895.65","11,802.65","559.49K","0.27%"
