"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 14, 2019","10,746.05","10,786.10","10,792.70","10,718.75","627.04K","-0.44%"
"Feb 13, 2019","10,793.65","10,870.55","10,891.65","10,772.10","321.96K","-0.35%"
"Feb 12, 2019","10,831.40","10,879.70","10,910.90","10,823.80","292.32K","-0.53%"
"Feb 11, 2019","10,888.80","10,930.90","10,930.90","10,857.10","285.99K","-0.50%"
"Feb 08, 2019","10,943.60","11,023.50","11,041.20","10,925.45","352.79K","-1.14%"
"Feb 07, 2019","11,069.40","11,070.45","11,118.10","11,043.60","263.54K","0.06%"
"Feb 06, 2019","11,062.45","10,965.10","11,072.60","10,962.70","298.51K","1.17%"
"Feb 05, 2019","10,934.35","10,908.65","10,956.70","10,886.70","268.10K","0.20%"
"Feb 04, 2019","10,912.25","10,876.75","10,927.90","10,814.15","318.30K","0.17%"
"Feb 01, 2019","10,893.65","10,851.35","10,983.45","10,813.45","482.27K","0.58%"
"Jan 31, 2019","10,830.95","10,690.55","10,838.05","10,678.55","604.82K","1.68%"
"Jan 30, 2019","10,651.80","10,702.25","10,710.20","10,612.85","410.11K","-0.00%"
"Jan 29, 2019","10,652.20","10,653.70","10,690.35","10,583.65","356.91K","-0.09%"
"Jan 28, 2019","10,661.55","10,792.45","10,804.45","10,630.95","419.68K","-1.10%"
"Jan 25, 2019","10,780.55","10,859.75","10,931.70","10,756.45","463.45K","-0.64%"
"Jan 24, 2019","10,849.80","10,844.05","10,866.60","10,798.65","361.08K","0.17%"
"Jan 23, 2019","10,831.50","10,931.05","10,944.80","10,811.95","298.88K","-0.84%"
"Jan 22, 2019","10,922.75","10,949.80","10,949.80","10,864.15","300.77K","-0.36%"
"Jan 21, 2019","10,961.85","10,919.35","10,987.45","10,885.75","288.83K","0.50%"
"Jan 18, 2019","10,906.95","10,914.85","10,928.20","10,852.20","323.81K","0.02%"
"Jan 17, 2019","10,905.20","10,920.85","10,930.65","10,844.65","271.68K","0.14%"
"Jan 16, 2019","10,890.30","10,899.65","10,928.15","10,876.90","276.54K","0.03%"
"Jan 15, 2019","10,886.80","10,777.55","10,896.95","10,777.55","310.74K","1.39%"
"Jan 14, 2019","10,737.60","10,807.00","10,808.00","10,692.35","298.77K","-0.53%"
"Jan 11, 2019","10,794.95","10,834.75","10,850.15","10,739.40","260.79K","-0.25%"
"Jan 10, 2019","10,821.60","10,859.35","10,859.35","10,801.80","254.37K","-0.31%"
"Jan 09, 2019","10,855.15","10,862.40","10,870.40","10,749.40","333.01K","0.49%"
"Jan 08, 2019","10,802.15","10,786.25","10,818.45","10,733.25","277.70K","0.28%"
"Jan 07, 2019","10,771.80","10,804.85","10,835.95","10,750.15","269.37K","0.41%"
"Jan 04, 2019","10,727.35","10,699.70","10,741.05","10,628.65","296.60K","0.52%"
"Jan 03, 2019","10,672.25","10,796.80","10,814.05","10,661.25","286.24K","-1.11%"
"Jan 02, 2019","10,792.50","10,868.85","10,895.35","10,735.05","309.67K","-1.08%"
"Jan 01, 2019","10,910.10","10,881.70","10,923.60","10,807.10","159.41K","0.44%"
"Dec 31, 2018","10,862.55","10,913.20","10,923.55","10,853.20","186.50K","0.02%"
"Dec 28, 2018","10,859.90","10,820.95","10,893.60","10,817.15","253.09K","0.74%"
"Dec 27, 2018","10,779.80","10,817.90","10,834.20","10,764.45","470.16K","0.47%"
"Dec 26, 2018","10,729.85","10,635.45","10,747.50","10,534.55","271.94K","0.62%"
"Dec 24, 2018","10,663.50","10,780.90","10,782.30","10,649.25","230.29K","-0.84%"
"Dec 21, 2018","10,754.00","10,944.25","10,963.65","10,738.65","389.24K","-1.81%"
"Dec 20, 2018","10,951.70","10,885.20","10,962.55","10,880.05","328.80K","-0.14%"
"Dec 19, 2018","10,967.30","10,930.55","10,985.15","10,928.00","321.80K","0.54%"
"Dec 18, 2018","10,908.70","10,850.90","10,915.40","10,819.10","294.94K","0.19%"
"Dec 17, 2018","10,888.35","10,853.20","10,900.35","10,844.85","306.15K","0.77%"
"Dec 14, 2018","10,805.45","10,784.50","10,815.75","10,752.10","350.58K","0.13%"
"Dec 13, 2018","10,791.55","10,810.75","10,838.60","10,749.50","387.81K","0.50%"
"Dec 12, 2018","10,737.60","10,591.00","10,752.20","10,560.80","371.70K","1.79%"
"Dec 11, 2018","10,549.15","10,350.05","10,567.15","10,333.85","438.70K","0.58%"
"Dec 10, 2018","10,488.45","10,508.70","10,558.85","10,474.95","393.10K","-1.92%"
"Dec 07, 2018","10,693.70","10,644.80","10,704.55","10,599.35","335.85K","0.87%"
"Dec 06, 2018","10,601.15","10,718.15","10,722.65","10,588.25","328.28K","-1.69%"
"Dec 05, 2018","10,782.90","10,820.45","10,821.05","10,747.95","322.02K","-0.80%"
"Dec 04, 2018","10,869.50","10,877.10","10,890.95","10,833.35","332.14K","-0.13%"
"Dec 03, 2018","10,883.75","10,930.70","10,941.20","10,845.35","422.36K","0.06%"
"Nov 30, 2018","10,876.75","10,892.10","10,922.45","10,835.10","467.86K","0.17%"
"Nov 29, 2018","10,858.70","10,808.70","10,883.05","10,782.35","712.65K","1.21%"
"Nov 28, 2018","10,728.85","10,708.75","10,757.80","10,699.85","437.63K","0.40%"
"Nov 27, 2018","10,685.60","10,621.45","10,695.15","10,596.35","382.83K","0.54%"
"Nov 26, 2018","10,628.60","10,568.30","10,637.80","10,489.75","332.86K","0.97%"
"Nov 22, 2018","10,526.75","10,612.65","10,646.25","10,512.00","246.93K","-0.69%"
"Nov 21, 2018","10,600.05","10,670.95","10,671.30","10,562.35","310.19K","-0.53%"
"Nov 20, 2018","10,656.20","10,740.10","10,740.85","10,640.85","304.32K","-1.00%"
"Nov 19, 2018","10,763.40","10,731.25","10,774.70","10,688.80","280.52K","0.76%"
"Nov 16, 2018","10,682.20","10,644.00","10,695.15","10,631.15","353.39K","0.62%"
"Nov 15, 2018","10,616.70","10,580.60","10,646.50","10,557.50","306.01K","0.38%"
"Nov 14, 2018","10,576.30","10,634.90","10,651.60","10,532.70","396.37K","-0.06%"
"Nov 13, 2018","10,582.50","10,451.90","10,596.25","10,440.55","262.54K","0.96%"
"Nov 12, 2018","10,482.20","10,607.80","10,645.50","10,464.05","267.71K","-0.97%"
"Nov 09, 2018","10,585.20","10,614.70","10,619.55","10,544.85","305.82K","-0.13%"
"Nov 07, 2018","10,598.85","10,614.45","10,616.45","10,591.80","2.83K","0.65%"
"Nov 06, 2018","10,530.00","10,552.00","10,600.25","10,491.45","309.88K","0.06%"
"Nov 05, 2018","10,524.00","10,558.75","10,558.80","10,477.00","311.18K","-0.27%"
"Nov 02, 2018","10,553.00","10,462.30","10,606.95","10,457.70","434.18K","1.66%"
"Nov 01, 2018","10,380.45","10,441.70","10,441.90","10,341.90","359.34K","-0.06%"
"Oct 31, 2018","10,386.60","10,209.55","10,396.00","10,105.10","386.62K","1.85%"
"Oct 30, 2018","10,198.40","10,239.40","10,285.10","10,175.35","298.75K","-0.51%"
"Oct 29, 2018","10,250.85","10,078.10","10,275.30","10,020.35","375.75K","2.20%"
"Oct 26, 2018","10,030.00","10,122.35","10,128.85","10,004.55","375.56K","-0.94%"
"Oct 25, 2018","10,124.90","10,135.05","10,166.60","10,079.30","522.42K","-0.98%"
"Oct 24, 2018","10,224.75","10,278.15","10,290.65","10,126.70","362.27K","0.77%"
"Oct 23, 2018","10,146.80","10,152.60","10,222.10","10,102.35","312.04K","-0.96%"
"Oct 22, 2018","10,245.25","10,405.85","10,408.55","10,224.00","306.47K","-0.57%"
"Oct 19, 2018","10,303.55","10,339.70","10,380.10","10,249.60","368.55K","-1.43%"
"Oct 17, 2018","10,453.05","10,688.70","10,710.15","10,436.45","293.59K","-1.24%"
"Oct 16, 2018","10,584.75","10,550.15","10,604.90","10,525.30","273.44K","0.69%"
"Oct 15, 2018","10,512.50","10,524.20","10,526.30","10,410.15","267.52K","0.38%"
"Oct 12, 2018","10,472.50","10,331.55","10,492.45","10,322.15","354.06K","2.32%"
"Oct 11, 2018","10,234.65","10,169.80","10,335.95","10,138.60","498.51K","-2.16%"
"Oct 10, 2018","10,460.10","10,331.85","10,482.35","10,318.25","373.84K","1.54%"
"Oct 09, 2018","10,301.05","10,390.30","10,397.60","10,279.35","443.80K","-0.45%"
"Oct 08, 2018","10,348.05","10,310.15","10,398.35","10,198.40","470.28K","0.31%"
"Oct 05, 2018","10,316.45","10,514.10","10,540.65","10,261.90","625.15K","-2.67%"
"Oct 04, 2018","10,599.25","10,754.70","10,754.70","10,547.25","438.20K","-2.39%"
"Oct 03, 2018","10,858.25","10,982.70","10,989.05","10,843.75","398.76K","-1.36%"
"Oct 01, 2018","11,008.30","10,930.90","11,035.65","10,821.55","398.99K","0.71%"
"Sep 28, 2018","10,930.45","11,008.10","11,034.10","10,850.30","492.89K","-0.43%"
"Sep 27, 2018","10,977.55","11,079.80","11,089.45","10,953.35","418.21K","-0.69%"
"Sep 26, 2018","11,053.80","11,145.55","11,145.55","10,993.05","351.04K","-0.12%"
"Sep 25, 2018","11,067.45","10,969.95","11,080.60","10,882.85","417.55K","0.91%"
"Sep 24, 2018","10,967.40","11,164.40","11,170.15","10,943.60","398.82K","-1.58%"
"Sep 21, 2018","11,143.10","11,271.30","11,346.80","10,866.45","741.15K","-0.81%"
"Sep 19, 2018","11,234.35","11,326.65","11,332.05","11,210.90","258.42K","-0.39%"
"Sep 18, 2018","11,278.90","11,381.55","11,411.45","11,268.95","248.30K","-0.87%"
"Sep 17, 2018","11,377.75","11,464.95","11,464.95","11,366.90","207.62K","-1.19%"
"Sep 14, 2018","11,515.20","11,443.50","11,523.25","11,430.55","285.22K","1.28%"
"Sep 12, 2018","11,369.90","11,340.10","11,380.75","11,250.20","276.51K","0.73%"
"Sep 11, 2018","11,287.50","11,476.85","11,479.40","11,274.00","318.09K","-1.32%"
"Sep 10, 2018","11,438.10","11,570.25","11,573.00","11,427.30","295.60K","-1.30%"
"Sep 07, 2018","11,589.10","11,558.25","11,603.00","11,484.40","305.03K","0.45%"
"Sep 06, 2018","11,536.90","11,514.15","11,562.25","11,436.05","255.56K","0.52%"
"Sep 05, 2018","11,476.95","11,514.85","11,542.65","11,393.85","253.69K","-0.38%"
"Sep 04, 2018","11,520.30","11,598.75","11,602.55","11,496.85","262.70K","-0.54%"
"Sep 03, 2018","11,582.35","11,751.80","11,751.80","11,567.40","241.73K","-0.84%"
"Aug 31, 2018","11,680.50","11,675.85","11,727.65","11,640.10","357.23K","0.03%"
"Aug 30, 2018","11,676.80","11,694.75","11,698.80","11,639.70","323.45K","-0.13%"
"Aug 29, 2018","11,691.90","11,744.95","11,753.20","11,678.85","259.35K","-0.40%"
"Aug 28, 2018","11,738.50","11,731.95","11,760.20","11,710.50","249.42K","0.40%"
"Aug 27, 2018","11,691.95","11,605.85","11,700.95","11,595.60","205.69K","1.17%"
"Aug 24, 2018","11,557.10","11,566.60","11,604.60","11,532.00","225.61K","-0.22%"
"Aug 23, 2018","11,582.75","11,620.70","11,620.70","11,546.70","256.16K","0.10%"
"Aug 21, 2018","11,570.90","11,576.20","11,581.75","11,539.60","231.06K","0.17%"
"Aug 20, 2018","11,551.75","11,502.10","11,565.30","11,499.65","239.84K","0.71%"
"Aug 17, 2018","11,470.75","11,437.15","11,486.45","11,431.80","241.99K","0.75%"
"Aug 16, 2018","11,385.05","11,397.15","11,449.85","11,366.25","299.61K","-0.44%"
"Aug 14, 2018","11,435.10","11,381.70","11,452.45","11,370.80","239.84K","0.70%"
"Aug 13, 2018","11,355.75","11,369.60","11,406.30","11,340.30","254.47K","-0.65%"
"Aug 10, 2018","11,429.50","11,474.95","11,478.75","11,419.65","336.42K","-0.36%"
"Aug 09, 2018","11,470.70","11,493.25","11,495.20","11,454.10","311.52K","0.18%"
"Aug 08, 2018","11,450.00","11,412.50","11,459.95","11,379.30","217.05K","0.53%"
"Aug 07, 2018","11,389.45","11,423.15","11,428.95","11,359.70","233.41K","0.02%"
"Aug 06, 2018","11,387.10","11,401.50","11,427.65","11,370.60","210.00K","0.23%"
"Aug 03, 2018","11,360.80","11,297.80","11,368.00","11,294.55","225.15K","1.03%"
"Aug 02, 2018","11,244.70","11,328.90","11,328.90","11,234.95","216.53K","-0.89%"
"Aug 01, 2018","11,346.20","11,359.80","11,390.55","11,313.55","278.01K","-0.09%"
"Jul 31, 2018","11,356.50","11,311.05","11,366.00","11,267.75","264.43K","0.33%"
"Jul 30, 2018","11,319.55","11,296.65","11,328.10","11,261.45","287.44K","0.37%"
"Jul 27, 2018","11,278.35","11,232.75","11,283.40","11,210.25","324.34K","0.99%"
"Jul 26, 2018","11,167.30","11,132.95","11,185.85","11,125.70","376.66K","0.32%"
"Jul 25, 2018","11,132.00","11,148.40","11,157.15","11,113.25","212.33K","-0.02%"
"Jul 24, 2018","11,134.30","11,109.00","11,143.40","11,092.50","212.25K","0.45%"
"Jul 23, 2018","11,084.75","11,019.85","11,093.40","11,010.95","236.15K","0.68%"
"Jul 20, 2018","11,010.20","10,963.50","11,030.25","10,946.20","193.14K","0.48%"
"Jul 19, 2018","10,957.10","10,999.50","11,006.50","10,935.45","222.06K","-0.21%"
"Jul 18, 2018","10,980.45","11,060.20","11,076.20","10,956.30","232.50K","-0.25%"
"Jul 17, 2018","11,008.05","10,939.65","11,018.50","10,925.60","217.11K","0.65%"
"Jul 16, 2018","10,936.85","11,018.95","11,019.50","10,926.25","216.97K","-0.74%"
"Jul 13, 2018","11,018.90","11,056.90","11,071.35","10,999.75","241.67K","-0.04%"
"Jul 12, 2018","11,023.20","11,006.95","11,078.30","10,999.65","256.04K","0.68%"
"Jul 11, 2018","10,948.30","10,956.40","10,976.65","10,923.00","229.21K","0.01%"
"Jul 10, 2018","10,947.25","10,902.75","10,956.90","10,876.65","203.06K","0.87%"
